k,probe,c_hits,c_attempts,alpha,alpha_ci_low,alpha_ci_high,alpha_ci_method,d_hits,d_attempts,emr_d,emr_d_ci_low,emr_d_ci_high,emr_d_ci_method,tau,tau_ci_low,tau_ci_high,tau_ci_method
0,fixed,0,150,0.0,0.0,0.10333504501592614,wilson_effective_n_at_boundary,0,150,0.0,0.0,0.10333504501592614,wilson_effective_n_at_boundary,0.0,-0.10333504501592614,0.10333504501592614,newcombe_mover_from_wilson_effective_n
1,gcg_free,0,150,0.0,0.0,0.10333504501592614,wilson_effective_n_at_boundary,0,150,0.0,0.0,0.10333504501592614,wilson_effective_n_at_boundary,0.0,-0.10333504501592614,0.10333504501592614,newcombe_mover_from_wilson_effective_n
2,gcg_free,0,150,0.0,0.0,0.10333504501592614,wilson_effective_n_at_boundary,0,150,0.0,0.0,0.10333504501592614,wilson_effective_n_at_boundary,0.0,-0.10333504501592614,0.10333504501592614,newcombe_mover_from_wilson_effective_n
3,gcg_free,0,150,0.0,0.0,0.10333504501592614,wilson_effective_n_at_boundary,0,150,0.0,0.0,0.10333504501592614,wilson_effective_n_at_boundary,0.0,-0.10333504501592614,0.10333504501592614,newcombe_mover_from_wilson_effective_n
4,gcg_free,1,150,0.006666666666666667,0.0,0.02,person_clustered_percentile_bootstrap,3,150,0.02,0.0,0.04,person_clustered_percentile_bootstrap,0.013333333333333332,-0.013333333333333332,0.04,independent_two_block_person_bootstrap
6,gcg_free,28,150,0.18666666666666668,0.11333333333333333,0.26666666666666666,person_clustered_percentile_bootstrap,48,150,0.32,0.24,0.3933333333333333,person_clustered_percentile_bootstrap,0.13333333333333333,0.020000000000000018,0.24000000000000002,independent_two_block_person_bootstrap
8,gcg_free,56,150,0.37333333333333335,0.30666666666666664,0.44666666666666666,person_clustered_percentile_bootstrap,71,150,0.47333333333333333,0.4,0.54,person_clustered_percentile_bootstrap,0.09999999999999998,0.0,0.19999999999999996,independent_two_block_person_bootstrap
12,gcg_free,101,150,0.6733333333333333,0.62,0.7333333333333333,person_clustered_percentile_bootstrap,105,150,0.7,0.64,0.76,person_clustered_percentile_bootstrap,0.026666666666666616,-0.053333333333333344,0.10666666666666669,independent_two_block_person_bootstrap
16,gcg_free,111,150,0.74,0.68,0.8,person_clustered_percentile_bootstrap,106,150,0.7066666666666667,0.6333333333333333,0.78,person_clustered_percentile_bootstrap,-0.033333333333333326,-0.1266666666666667,0.06000000000000005,independent_two_block_person_bootstrap
20,gcg_free,116,150,0.7733333333333333,0.7133333333333334,0.8333333333333334,person_clustered_percentile_bootstrap,122,150,0.8133333333333334,0.7466666666666667,0.88,person_clustered_percentile_bootstrap,0.040000000000000036,-0.053333333333333344,0.1333333333333333,independent_two_block_person_bootstrap
24,gcg_free,122,150,0.8133333333333334,0.7466666666666667,0.88,person_clustered_percentile_bootstrap,123,150,0.82,0.7466666666666667,0.8866666666666667,person_clustered_percentile_bootstrap,0.006666666666666599,-0.09333333333333327,0.09999999999999998,independent_two_block_person_bootstrap
32,gcg_free,130,150,0.8666666666666667,0.8133333333333334,0.9133333333333333,person_clustered_percentile_bootstrap,135,150,0.9,0.84,0.9466666666666667,person_clustered_percentile_bootstrap,0.033333333333333326,-0.040000000000000036,0.10666666666666669,independent_two_block_person_bootstrap
48,gcg_free,136,150,0.9066666666666666,0.86,0.9466666666666667,person_clustered_percentile_bootstrap,142,150,0.9466666666666667,0.9066666666666666,0.98,person_clustered_percentile_bootstrap,0.040000000000000036,-0.020000000000000018,0.09999999999999998,independent_two_block_person_bootstrap
64,gcg_free,141,150,0.94,0.9066666666666666,0.9666666666666667,person_clustered_percentile_bootstrap,140,150,0.9333333333333333,0.8866666666666667,0.9733333333333334,person_clustered_percentile_bootstrap,-0.006666666666666599,-0.06666666666666665,0.046666666666666634,independent_two_block_person_bootstrap
