k,c_hits,c_count,c_rate,c_ci_low,c_ci_high,c_ci_method,c_person_bootstrap_ci_low,c_person_bootstrap_ci_high,c_random_record_match_count,seed_42_hits,seed_42_count,seed_42_rate,seed_42_random_record_match_count,seed_1337_hits,seed_1337_count,seed_1337_rate,seed_1337_random_record_match_count,seed_2024_hits,seed_2024_count,seed_2024_rate,seed_2024_random_record_match_count
0,0,150,0.0,0.0,0.10333504505941382,wilson_effective_n_at_boundary,0.0,0.0,0,0,50,0.0,0,0,50,0.0,0,0,50,0.0,0
1,0,150,0.0,0.0,0.10333504505941382,wilson_effective_n_at_boundary,0.0,0.0,0,0,50,0.0,0,0,50,0.0,0,0,50,0.0,0
2,0,150,0.0,0.0,0.10333504505941382,wilson_effective_n_at_boundary,0.0,0.0,0,0,50,0.0,0,0,50,0.0,0,0,50,0.0,0
3,0,150,0.0,0.0,0.10333504505941382,wilson_effective_n_at_boundary,0.0,0.0,1,0,50,0.0,1,0,50,0.0,0,0,50,0.0,0
4,1,150,0.006666666666666667,0.0,0.02,person_clustered_percentile_bootstrap,0.0,0.02,0,0,50,0.0,0,1,50,0.02,0,0,50,0.0,0
6,28,150,0.18666666666666668,0.11333333333333333,0.26666666666666666,person_clustered_percentile_bootstrap,0.11333333333333333,0.26666666666666666,0,8,50,0.16,0,11,50,0.22,0,9,50,0.18,0
8,56,150,0.37333333333333335,0.30666666666666664,0.44666666666666666,person_clustered_percentile_bootstrap,0.30666666666666664,0.44666666666666666,2,16,50,0.32,0,19,50,0.38,1,21,50,0.42,1
12,101,150,0.6733333333333333,0.62,0.7333333333333333,person_clustered_percentile_bootstrap,0.62,0.7333333333333333,3,33,50,0.66,1,33,50,0.66,1,35,50,0.7,1
16,111,150,0.74,0.68,0.8,person_clustered_percentile_bootstrap,0.68,0.8,3,33,50,0.66,1,41,50,0.82,1,37,50,0.74,1
20,116,150,0.7733333333333333,0.7133333333333334,0.8333333333333334,person_clustered_percentile_bootstrap,0.7133333333333334,0.8333333333333334,3,36,50,0.72,1,37,50,0.74,1,43,50,0.86,1
24,122,150,0.8133333333333334,0.7466666666666667,0.88,person_clustered_percentile_bootstrap,0.7466666666666667,0.88,3,40,50,0.8,1,43,50,0.86,1,39,50,0.78,1
32,130,150,0.8666666666666667,0.8133333333333334,0.9133333333333333,person_clustered_percentile_bootstrap,0.8133333333333334,0.9133333333333333,3,39,50,0.78,1,45,50,0.9,1,46,50,0.92,1
48,136,150,0.9066666666666666,0.86,0.9466666666666667,person_clustered_percentile_bootstrap,0.86,0.9466666666666667,3,44,50,0.88,1,48,50,0.96,1,44,50,0.88,1
64,141,150,0.94,0.9066666666666666,0.9666666666666667,person_clustered_percentile_bootstrap,0.9066666666666666,0.9666666666666667,3,49,50,0.98,1,46,50,0.92,1,46,50,0.92,1
