label,field,k,auc,ci,n_persons_per_arm,n_seeds,multiple_comparison_note
(exploratory),ssn,1,0.6659555555555555,"[0.5103955555555555, 0.81316]",25,3,"pointwise exploratory intervals, no confirmatory discovery claim"
(exploratory),ssn,2,0.6385777777777778,"[0.5137644444444445, 0.7536088888888888]",25,3,"pointwise exploratory intervals, no confirmatory discovery claim"
(exploratory),ssn,3,0.6709333333333333,"[0.5219555555555556, 0.8080044444444443]",25,3,"pointwise exploratory intervals, no confirmatory discovery claim"
(exploratory),ssn,4,0.6471111111111111,"[0.5111066666666666, 0.7738666666666666]",25,3,"pointwise exploratory intervals, no confirmatory discovery claim"
(exploratory),ssn,6,0.6051555555555554,"[0.48888444444444445, 0.7168088888888888]",25,3,"pointwise exploratory intervals, no confirmatory discovery claim"
(exploratory),ssn,8,0.5456,"[0.4272, 0.6643555555555556]",25,3,"pointwise exploratory intervals, no confirmatory discovery claim"
(exploratory),ssn,12,0.512,"[0.39039999999999997, 0.6328933333333332]",25,3,"pointwise exploratory intervals, no confirmatory discovery claim"
(exploratory),ssn,16,0.5354666666666666,"[0.43021777777777775, 0.642311111111111]",25,3,"pointwise exploratory intervals, no confirmatory discovery claim"
(exploratory),ssn,20,0.4890666666666666,"[0.39145777777777774, 0.5905822222222221]",25,3,"pointwise exploratory intervals, no confirmatory discovery claim"
(exploratory),ssn,24,0.5143111111111112,"[0.4026666666666667, 0.6238222222222221]",25,3,"pointwise exploratory intervals, no confirmatory discovery claim"
(exploratory),ssn,32,0.5296,"[0.4309333333333333, 0.6282666666666666]",25,3,"pointwise exploratory intervals, no confirmatory discovery claim"
(exploratory),ssn,48,0.4750222222222223,"[0.36195555555555553, 0.5868444444444443]",25,3,"pointwise exploratory intervals, no confirmatory discovery claim"
(exploratory),ssn,64,0.4670222222222223,"[0.3658666666666667, 0.5715555555555556]",25,3,"pointwise exploratory intervals, no confirmatory discovery claim"
(exploratory),email,1,0.5984,"[0.4272000000000001, 0.7616]",25,3,"pointwise exploratory intervals, no confirmatory discovery claim"
(exploratory),email,2,0.5968,"[0.43324444444444443, 0.7530666666666667]",25,3,"pointwise exploratory intervals, no confirmatory discovery claim"
(exploratory),email,3,0.5667555555555556,"[0.40035111111111116, 0.7262266666666667]",25,3,"pointwise exploratory intervals, no confirmatory discovery claim"
(exploratory),email,4,0.5155555555555554,"[0.3655111111111111, 0.6631155555555556]",25,3,"pointwise exploratory intervals, no confirmatory discovery claim"
(exploratory),email,6,0.46062222222222227,"[0.31715111111111116, 0.6024888888888889]",25,3,"pointwise exploratory intervals, no confirmatory discovery claim"
(exploratory),email,8,0.5466666666666667,"[0.42648444444444444, 0.6629377777777777]",25,3,"pointwise exploratory intervals, no confirmatory discovery claim"
(exploratory),email,12,0.5324444444444444,"[0.42488888888888887, 0.6408977777777776]",25,3,"pointwise exploratory intervals, no confirmatory discovery claim"
(exploratory),email,16,0.48302222222222224,"[0.3656888888888889, 0.6005333333333333]",25,3,"pointwise exploratory intervals, no confirmatory discovery claim"
(exploratory),email,20,0.42897777777777774,"[0.32799999999999996, 0.5327999999999999]",25,3,"pointwise exploratory intervals, no confirmatory discovery claim"
(exploratory),email,24,0.5187555555555555,"[0.40924, 0.6255999999999999]",25,3,"pointwise exploratory intervals, no confirmatory discovery claim"
(exploratory),email,32,0.5381333333333334,"[0.44337777777777776, 0.6320088888888887]",25,3,"pointwise exploratory intervals, no confirmatory discovery claim"
(exploratory),email,48,0.4451555555555556,"[0.33457333333333333, 0.5539599999999999]",25,3,"pointwise exploratory intervals, no confirmatory discovery claim"
(exploratory),email,64,0.47804444444444455,"[0.37670666666666663, 0.5781377777777778]",25,3,"pointwise exploratory intervals, no confirmatory discovery claim"
(exploratory),pooled,1,0.5448888888888889,"[0.462798888888889, 0.6192033333333333]",25,3,"pointwise exploratory intervals, no confirmatory discovery claim"
(exploratory),pooled,2,0.5486666666666667,"[0.47346444444444447, 0.6189777777777778]",25,3,"pointwise exploratory intervals, no confirmatory discovery claim"
