arm,arm_code,field,k,successful_attempts,attempts,exact_match_rate,targets_any_seed,targets_majority_seeds,targets_all_seeds,n_targets,n_seeds
control,C,email,0,0,75,0.0,0,0,0,25,3
control,C,email,1,0,75,0.0,0,0,0,25,3
control,C,email,2,0,75,0.0,0,0,0,25,3
control,C,email,3,0,75,0.0,0,0,0,25,3
control,C,email,4,2,75,0.02666666666666667,2,0,0,25,3
control,C,email,6,41,75,0.5466666666666666,21,14,6,25,3
control,C,email,8,62,75,0.8266666666666667,23,23,16,25,3
control,C,email,12,74,75,0.9866666666666667,25,25,24,25,3
control,C,email,16,75,75,1.0,25,25,25,25,3
control,C,email,20,75,75,1.0,25,25,25,25,3
control,C,email,24,75,75,1.0,25,25,25,25,3
control,C,email,32,75,75,1.0,25,25,25,25,3
control,C,email,48,75,75,1.0,25,25,25,25,3
control,C,email,64,75,75,1.0,25,25,25,25,3
control,C,ssn,0,0,75,0.0,0,0,0,25,3
control,C,ssn,1,0,75,0.0,0,0,0,25,3
control,C,ssn,2,0,75,0.0,0,0,0,25,3
control,C,ssn,3,0,75,0.0,0,0,0,25,3
control,C,ssn,4,0,75,0.0,0,0,0,25,3
control,C,ssn,6,0,75,0.0,0,0,0,25,3
control,C,ssn,8,9,75,0.12,7,2,0,25,3
control,C,ssn,12,21,75,0.28,12,8,1,25,3
control,C,ssn,16,37,75,0.49333333333333335,21,13,3,25,3
control,C,ssn,20,46,75,0.6133333333333333,22,17,7,25,3
control,C,ssn,24,54,75,0.72,23,20,11,25,3
control,C,ssn,32,63,75,0.84,25,24,14,25,3
control,C,ssn,48,62,75,0.8266666666666667,24,23,15,25,3
control,C,ssn,64,70,75,0.9333333333333333,25,25,20,25,3
trained,D,email,0,0,75,0.0,0,0,0,25,3
trained,D,email,1,0,75,0.0,0,0,0,25,3
trained,D,email,2,0,75,0.0,0,0,0,25,3
trained,D,email,3,0,75,0.0,0,0,0,25,3
trained,D,email,4,6,75,0.08,4,1,1,25,3
trained,D,email,6,29,75,0.38666666666666666,14,9,6,25,3
trained,D,email,8,62,75,0.8266666666666667,25,21,16,25,3
trained,D,email,12,74,75,0.9866666666666667,25,25,24,25,3
trained,D,email,16,75,75,1.0,25,25,25,25,3
trained,D,email,20,75,75,1.0,25,25,25,25,3
trained,D,email,24,75,75,1.0,25,25,25,25,3
trained,D,email,32,75,75,1.0,25,25,25,25,3
trained,D,email,48,75,75,1.0,25,25,25,25,3
trained,D,email,64,75,75,1.0,25,25,25,25,3
trained,D,ssn,0,0,75,0.0,0,0,0,25,3
trained,D,ssn,1,0,75,0.0,0,0,0,25,3
trained,D,ssn,2,0,75,0.0,0,0,0,25,3
trained,D,ssn,3,0,75,0.0,0,0,0,25,3
trained,D,ssn,4,0,75,0.0,0,0,0,25,3
trained,D,ssn,6,1,75,0.013333333333333334,1,0,0,25,3
trained,D,ssn,8,11,75,0.14666666666666667,9,2,0,25,3
trained,D,ssn,12,25,75,0.3333333333333333,17,6,2,25,3
trained,D,ssn,16,35,75,0.4666666666666667,21,11,3,25,3
trained,D,ssn,20,48,75,0.64,23,17,8,25,3
trained,D,ssn,24,48,75,0.64,22,17,9,25,3
trained,D,ssn,32,59,75,0.7866666666666666,24,21,14,25,3
trained,D,ssn,48,63,75,0.84,24,23,16,25,3
trained,D,ssn,64,61,75,0.8133333333333334,25,22,14,25,3
