scope,k,arm,arm_code,n_persons,n_targets,n_seeds,n_attempts,exact_match_successes,exact_match_rate,ci_lower,ci_upper,interval_method
pooled,0,trained,D,25,50,3,150,0,0.0,0.0,0.10333504501592614,Wilson assumed n_eff
pooled,0,control,C,25,50,3,150,0,0.0,0.0,0.10333504501592614,Wilson assumed n_eff
pooled,1,trained,D,25,50,3,150,0,0.0,0.0,0.10333504501592614,Wilson assumed n_eff
pooled,1,control,C,25,50,3,150,0,0.0,0.0,0.10333504501592614,Wilson assumed n_eff
pooled,2,trained,D,25,50,3,150,0,0.0,0.0,0.10333504501592614,Wilson assumed n_eff
pooled,2,control,C,25,50,3,150,0,0.0,0.0,0.10333504501592614,Wilson assumed n_eff
pooled,3,trained,D,25,50,3,150,0,0.0,0.0,0.10333504501592614,Wilson assumed n_eff
pooled,3,control,C,25,50,3,150,0,0.0,0.0,0.10333504501592614,Wilson assumed n_eff
pooled,4,trained,D,25,50,3,150,6,0.04,0.006666666666666666,0.08666666666666668,person-clustered percentile bootstrap
pooled,4,control,C,25,50,3,150,2,0.013333333333333332,0.0,0.03333333333333333,person-clustered percentile bootstrap
pooled,6,trained,D,25,50,3,150,30,0.19999999999999996,0.12666666666666665,0.28,person-clustered percentile bootstrap
pooled,6,control,C,25,50,3,150,41,0.2733333333333333,0.20666666666666667,0.34,person-clustered percentile bootstrap
pooled,8,trained,D,25,50,3,150,73,0.48666666666666664,0.4133333333333333,0.5533333333333333,person-clustered percentile bootstrap
pooled,8,control,C,25,50,3,150,71,0.4733333333333333,0.4,0.5466666666666667,person-clustered percentile bootstrap
pooled,12,trained,D,25,50,3,150,99,0.66,0.6,0.7266666666666666,person-clustered percentile bootstrap
pooled,12,control,C,25,50,3,150,95,0.6333333333333334,0.5666666666666668,0.7,person-clustered percentile bootstrap
pooled,16,trained,D,25,50,3,150,110,0.7333333333333334,0.6733333333333335,0.7933333333333333,person-clustered percentile bootstrap
pooled,16,control,C,25,50,3,150,112,0.7466666666666667,0.6866666666666665,0.8066666666666665,person-clustered percentile bootstrap
pooled,20,trained,D,25,50,3,150,123,0.8200000000000002,0.7599999999999999,0.88,person-clustered percentile bootstrap
pooled,20,control,C,25,50,3,150,121,0.8066666666666668,0.74,0.8666666666666667,person-clustered percentile bootstrap
pooled,24,trained,D,25,50,3,150,123,0.82,0.7533333333333333,0.8866666666666664,person-clustered percentile bootstrap
pooled,24,control,C,25,50,3,150,129,0.86,0.7999999999999998,0.9199999999999998,person-clustered percentile bootstrap
pooled,32,trained,D,25,50,3,150,134,0.8933333333333334,0.8333333333333335,0.9466666666666665,person-clustered percentile bootstrap
pooled,32,control,C,25,50,3,150,138,0.92,0.88,0.9533333333333335,person-clustered percentile bootstrap
pooled,48,trained,D,25,50,3,150,138,0.92,0.8666666666666666,0.9666666666666666,person-clustered percentile bootstrap
pooled,48,control,C,25,50,3,150,137,0.9133333333333333,0.86,0.96,person-clustered percentile bootstrap
pooled,64,trained,D,25,50,3,150,136,0.9066666666666667,0.8599999999999999,0.9533333333333331,person-clustered percentile bootstrap
pooled,64,control,C,25,50,3,150,145,0.9666666666666667,0.9399999999999998,0.9933333333333333,person-clustered percentile bootstrap
ssn,0,trained,D,25,25,3,75,0,0.0,0.0,0.13319225093904846,Wilson assumed n_eff
ssn,0,control,C,25,25,3,75,0,0.0,0.0,0.13319225093904846,Wilson assumed n_eff
ssn,1,trained,D,25,25,3,75,0,0.0,0.0,0.13319225093904846,Wilson assumed n_eff
ssn,1,control,C,25,25,3,75,0,0.0,0.0,0.13319225093904846,Wilson assumed n_eff
ssn,2,trained,D,25,25,3,75,0,0.0,0.0,0.13319225093904846,Wilson assumed n_eff
ssn,2,control,C,25,25,3,75,0,0.0,0.0,0.13319225093904846,Wilson assumed n_eff
ssn,3,trained,D,25,25,3,75,0,0.0,0.0,0.13319225093904846,Wilson assumed n_eff
ssn,3,control,C,25,25,3,75,0,0.0,0.0,0.13319225093904846,Wilson assumed n_eff
ssn,4,trained,D,25,25,3,75,0,0.0,0.0,0.13319225093904846,Wilson assumed n_eff
ssn,4,control,C,25,25,3,75,0,0.0,0.0,0.13319225093904846,Wilson assumed n_eff
ssn,6,trained,D,25,25,3,75,1,0.013333333333333332,0.0,0.04,person-clustered percentile bootstrap
