seed,k,arm,rate,hits,attempts
42,0,control,0.0,0,50
42,0,trained,0.0,0,50
42,1,control,0.0,0,50
42,1,trained,0.0,0,50
42,2,control,0.0,0,50
42,2,trained,0.0,0,50
42,3,control,0.0,0,50
42,3,trained,0.0,0,50
42,4,control,0.04,2,50
42,4,trained,0.02,1,50
42,6,control,0.3,15,50
42,6,trained,0.18,9,50
42,8,control,0.42,21,50
42,8,trained,0.46,23,50
42,12,control,0.58,29,50
42,12,trained,0.64,32,50
42,16,control,0.8,40,50
42,16,trained,0.76,38,50
42,20,control,0.78,39,50
42,20,trained,0.8,40,50
42,24,control,0.84,42,50
42,24,trained,0.86,43,50
42,32,control,0.9,45,50
42,32,trained,0.94,47,50
42,48,control,0.98,49,50
42,48,trained,0.88,44,50
42,64,control,0.96,48,50
42,64,trained,0.88,44,50
1337,0,control,0.0,0,50
1337,0,trained,0.0,0,50
1337,1,control,0.0,0,50
1337,1,trained,0.0,0,50
1337,2,control,0.0,0,50
1337,2,trained,0.0,0,50
1337,3,control,0.0,0,50
1337,3,trained,0.0,0,50
1337,4,control,0.0,0,50
1337,4,trained,0.04,2,50
1337,6,control,0.3,15,50
1337,6,trained,0.24,12,50
1337,8,control,0.54,27,50
1337,8,trained,0.56,28,50
1337,12,control,0.68,34,50
1337,12,trained,0.68,34,50
1337,16,control,0.74,37,50
1337,16,trained,0.74,37,50
1337,20,control,0.86,43,50
1337,20,trained,0.86,43,50
1337,24,control,0.9,45,50
1337,24,trained,0.8,40,50
1337,32,control,0.92,46,50
1337,32,trained,0.86,43,50
1337,48,control,0.9,45,50
1337,48,trained,0.92,46,50
1337,64,control,0.94,47,50
1337,64,trained,0.94,47,50
2024,0,control,0.0,0,50
2024,0,trained,0.0,0,50
2024,1,control,0.0,0,50
2024,1,trained,0.0,0,50
2024,2,control,0.0,0,50
2024,2,trained,0.0,0,50
2024,3,control,0.0,0,50
2024,3,trained,0.0,0,50
2024,4,control,0.0,0,50
2024,4,trained,0.06,3,50
2024,6,control,0.22,11,50
2024,6,trained,0.18,9,50
2024,8,control,0.46,23,50
2024,8,trained,0.44,22,50
2024,12,control,0.64,32,50
2024,12,trained,0.66,33,50
2024,16,control,0.7,35,50
2024,16,trained,0.7,35,50
2024,20,control,0.78,39,50
2024,20,trained,0.8,40,50
2024,24,control,0.84,42,50
2024,24,trained,0.8,40,50
2024,32,control,0.94,47,50
2024,32,trained,0.88,44,50
2024,48,control,0.86,43,50
2024,48,trained,0.96,48,50
2024,64,control,1.0,50,50
2024,64,trained,0.9,45,50
