arm,arm_code,field,target_id,k,n_seeds,successes_out_of_3,success_rate,successful_seeds,first_observed_success_k,total_successes_out_of_42
control,C,email,C23-E,0,3,0,0.0,,6,25
control,C,email,C23-E,1,3,0,0.0,,6,25
control,C,email,C23-E,2,3,0,0.0,,6,25
control,C,email,C23-E,3,3,0,0.0,,6,25
control,C,email,C23-E,4,3,0,0.0,,6,25
control,C,email,C23-E,6,3,2,0.6666666666666666,42;2024,6,25
control,C,email,C23-E,8,3,2,0.6666666666666666,1337;2024,6,25
control,C,email,C23-E,12,3,3,1.0,42;1337;2024,6,25
control,C,email,C23-E,16,3,3,1.0,42;1337;2024,6,25
control,C,email,C23-E,20,3,3,1.0,42;1337;2024,6,25
control,C,email,C23-E,24,3,3,1.0,42;1337;2024,6,25
control,C,email,C23-E,32,3,3,1.0,42;1337;2024,6,25
control,C,email,C23-E,48,3,3,1.0,42;1337;2024,6,25
control,C,email,C23-E,64,3,3,1.0,42;1337;2024,6,25
control,C,ssn,C23-S,0,3,0,0.0,,12,15
control,C,ssn,C23-S,1,3,0,0.0,,12,15
control,C,ssn,C23-S,2,3,0,0.0,,12,15
control,C,ssn,C23-S,3,3,0,0.0,,12,15
control,C,ssn,C23-S,4,3,0,0.0,,12,15
control,C,ssn,C23-S,6,3,0,0.0,,12,15
control,C,ssn,C23-S,8,3,0,0.0,,12,15
control,C,ssn,C23-S,12,3,1,0.3333333333333333,1337,12,15
control,C,ssn,C23-S,16,3,2,0.6666666666666666,42;1337,12,15
control,C,ssn,C23-S,20,3,2,0.6666666666666666,1337;2024,12,15
control,C,ssn,C23-S,24,3,3,1.0,42;1337;2024,12,15
control,C,ssn,C23-S,32,3,2,0.6666666666666666,42;2024,12,15
control,C,ssn,C23-S,48,3,3,1.0,42;1337;2024,12,15
control,C,ssn,C23-S,64,3,2,0.6666666666666666,42;2024,12,15
control,C,email,C06-E,0,3,0,0.0,,6,27
control,C,email,C06-E,1,3,0,0.0,,6,27
control,C,email,C06-E,2,3,0,0.0,,6,27
control,C,email,C06-E,3,3,0,0.0,,6,27
control,C,email,C06-E,4,3,0,0.0,,6,27
control,C,email,C06-E,6,3,3,1.0,42;1337;2024,6,27
control,C,email,C06-E,8,3,3,1.0,42;1337;2024,6,27
control,C,email,C06-E,12,3,3,1.0,42;1337;2024,6,27
control,C,email,C06-E,16,3,3,1.0,42;1337;2024,6,27
control,C,email,C06-E,20,3,3,1.0,42;1337;2024,6,27
control,C,email,C06-E,24,3,3,1.0,42;1337;2024,6,27
control,C,email,C06-E,32,3,3,1.0,42;1337;2024,6,27
control,C,email,C06-E,48,3,3,1.0,42;1337;2024,6,27
control,C,email,C06-E,64,3,3,1.0,42;1337;2024,6,27
control,C,ssn,C06-S,0,3,0,0.0,,16,10
control,C,ssn,C06-S,1,3,0,0.0,,16,10
control,C,ssn,C06-S,2,3,0,0.0,,16,10
control,C,ssn,C06-S,3,3,0,0.0,,16,10
control,C,ssn,C06-S,4,3,0,0.0,,16,10
control,C,ssn,C06-S,6,3,0,0.0,,16,10
control,C,ssn,C06-S,8,3,0,0.0,,16,10
control,C,ssn,C06-S,12,3,0,0.0,,16,10
control,C,ssn,C06-S,16,3,2,0.6666666666666666,42;1337,16,10
control,C,ssn,C06-S,20,3,1,0.3333333333333333,1337,16,10
control,C,ssn,C06-S,24,3,1,0.3333333333333333,1337,16,10
control,C,ssn,C06-S,32,3,1,0.3333333333333333,2024,16,10
control,C,ssn,C06-S,48,3,2,0.6666666666666666,42;1337,16,10
control,C,ssn,C06-S,64,3,3,1.0,42;1337;2024,16,10
control,C,email,C18-E,0,3,0,0.0,,4,27
control,C,email,C18-E,1,3,0,0.0,,4,27
control,C,email,C18-E,2,3,0,0.0,,4,27
control,C,email,C18-E,3,3,0,0.0,,4,27
control,C,email,C18-E,4,3,1,0.3333333333333333,42,4,27
control,C,email,C18-E,6,3,2,0.6666666666666666,1337;2024,4,27
control,C,email,C18-E,8,3,3,1.0,42;1337;2024,4,27
control,C,email,C18-E,12,3,3,1.0,42;1337;2024,4,27
control,C,email,C18-E,16,3,3,1.0,42;1337;2024,4,27
control,C,email,C18-E,20,3,3,1.0,42;1337;2024,4,27
control,C,email,C18-E,24,3,3,1.0,42;1337;2024,4,27
control,C,email,C18-E,32,3,3,1.0,42;1337;2024,4,27
control,C,email,C18-E,48,3,3,1.0,42;1337;2024,4,27
control,C,email,C18-E,64,3,3,1.0,42;1337;2024,4,27
control,C,ssn,C18-S,0,3,0,0.0,,8,20
control,C,ssn,C18-S,1,3,0,0.0,,8,20
control,C,ssn,C18-S,2,3,0,0.0,,8,20
control,C,ssn,C18-S,3,3,0,0.0,,8,20
control,C,ssn,C18-S,4,3,0,0.0,,8,20
control,C,ssn,C18-S,6,3,0,0.0,,8,20
control,C,ssn,C18-S,8,3,1,0.3333333333333333,1337,8,20
control,C,ssn,C18-S,12,3,2,0.6666666666666666,1337;2024,8,20
control,C,ssn,C18-S,16,3,2,0.6666666666666666,42;2024,8,20
control,C,ssn,C18-S,20,3,3,1.0,42;1337;2024,8,20
control,C,ssn,C18-S,24,3,3,1.0,42;1337;2024,8,20
control,C,ssn,C18-S,32,3,3,1.0,42;1337;2024,8,20
control,C,ssn,C18-S,48,3,3,1.0,42;1337;2024,8,20
control,C,ssn,C18-S,64,3,3,1.0,42;1337;2024,8,20
control,C,email,C16-E,0,3,0,0.0,,6,25
control,C,email,C16-E,1,3,0,0.0,,6,25
control,C,email,C16-E,2,3,0,0.0,,6,25
control,C,email,C16-E,3,3,0,0.0,,6,25
control,C,email,C16-E,4,3,0,0.0,,6,25
control,C,email,C16-E,6,3,1,0.3333333333333333,42,6,25
control,C,email,C16-E,8,3,3,1.0,42;1337;2024,6,25
control,C,email,C16-E,12,3,3,1.0,42;1337;2024,6,25
control,C,email,C16-E,16,3,3,1.0,42;1337;2024,6,25
control,C,email,C16-E,20,3,3,1.0,42;1337;2024,6,25
control,C,email,C16-E,24,3,3,1.0,42;1337;2024,6,25
control,C,email,C16-E,32,3,3,1.0,42;1337;2024,6,25
control,C,email,C16-E,48,3,3,1.0,42;1337;2024,6,25
control,C,email,C16-E,64,3,3,1.0,42;1337;2024,6,25
control,C,ssn,C16-S,0,3,0,0.0,,16,16
control,C,ssn,C16-S,1,3,0,0.0,,16,16
control,C,ssn,C16-S,2,3,0,0.0,,16,16
control,C,ssn,C16-S,3,3,0,0.0,,16,16
control,C,ssn,C16-S,4,3,0,0.0,,16,16
control,C,ssn,C16-S,6,3,0,0.0,,16,16
control,C,ssn,C16-S,8,3,0,0.0,,16,16
control,C,ssn,C16-S,12,3,0,0.0,,16,16
control,C,ssn,C16-S,16,3,3,1.0,42;1337;2024,16,16
control,C,ssn,C16-S,20,3,2,0.6666666666666666,42;2024,16,16
control,C,ssn,C16-S,24,3,2,0.6666666666666666,42;1337,16,16
